21,8
0, 0,F
1, 0,H
2, 0,H
3, 0,M
4, 0,M
5, 0,M
6, 0,M
7, 0,R
8, 0,R
9, 0,F
10,0,F
11,0,F
12,0,L
13,0,H
14,0,H
15,0,F
16,0,F
17,0,F
18,0,F
19,0,H
20,0,H
0, 1,H
1, 1,H
2, 1,H
3, 1,H
4, 1,L
5, 1,H
6, 1,H
7, 1,R
8, 1,R
9, 1,R
10,1,R
11,1,R
12,1,R
13,1,R
14,1,R
15,1,F
16,1,F
17,1,L
18,1,L
19,1,H
20,1,H
0, 2,H
1, 2,L
2, 2,L
3, 2,H
4, 2,L
5, 2,M
6, 2,H
7, 2,H
8, 2,H
9, 2,R
10,2,R
11,2,F
12,2,F
13,2,F
14,2,R
15,2,R
16,2,R
17,2,R
18,2,R
19,2,R
20,2,R
0, 3,H
1, 3,L
2, 3,L
3, 3,H
4, 3,M
5, 3,M
6, 3,M
7, 3,H
8, 3,R
9, 3,R
10,3,H
11,3,F
12,3,F
13,3,L
14,3,L
15,3,L
16,3,F
17,3,H
18,3,H
19,3,H
20,3,M
0, 4,F
1, 4,F
2, 4,H
3, 4,H
4, 4,H
5, 4,R
6, 4,R
7, 4,R
8, 4,R
9, 4,M
10,4,H
11,4,F
12,4,F
13,4,F
14,4,L
15,4,F
16,4,F
17,4,H
18,4,H
19,4,M
20,4,M
0, 5,L
1, 5,L
2, 5,L
3, 5,H
4, 5,R
5, 5,R
6, 5,H
7, 5,H
8, 5,M
9, 5,M
10,5,M
11,5,H
12,5,H
13,5,H
14,5,M
15,5,H
16,5,H
17,5,H
18,5,M
19,5,M
20,5,M
0, 6,H
1, 6,M
2, 6,L
3, 6,H
4, 6,R
5, 6,R
6, 6,H
7, 6,H
8, 6,H
9, 6,H
10,6,H
11,6,H
12,6,H
13,6,M
14,6,M
15,6,M
16,6,H
17,6,H
18,6,H
19,6,H
20,6,H
0, 7,M
1, 7,M
2, 7,M
3, 7,H
4, 7,R
5, 7,R
6, 7,F
7, 7,F
8, 7,F
9, 7,L
10,7,F
11,7,L
12,7,F
13,7,H
14,7,H
15,7,H
16,7,L
17,7,L
18,7,L
19,7,F
20,7,F
